Depth  Name              #Inst  Area (um^2)
-------------------------------------------
0      mux_hamming       99     576.0009
1      ux1               9      52.2261
1      y                 9      52.2261
1      t                 9      52.2261
1      w                 9      52.2261
1      ux5               9      52.2261
1      o                 9      52.2261
1      asdf              9      52.2261
1      ux3               9      52.2261
1      r                 9      52.2261
1      u                 4      22.707
1      q                 1      8.3259
1      ux2               9      52.2261
1      p                 4      22.707
2      asdf/one          4      22.707
2      ux3/one           4      22.707
2      asdf/two          4      22.707
2      ux2/one           4      22.707
2      p/two             2      7.569
2      w/two             4      22.707
2      ux3/three         1      6.8121
2      y/three           1      6.8121
2      r/one             4      22.707
2      u/three           1      6.8121
2      w/three           1      6.8121
2      ux2/three         1      6.8121
2      u/one             1      8.3259
2      o/two             4      22.707
2      ux5/two           4      22.707
2      p/one             1      8.3259
2      ux3/two           4      22.707
2      ux1/three         1      6.8121
2      ux1/one           4      22.707
2      t/two             4      22.707
2      r/two             4      22.707
2      y/one             4      22.707
2      t/three           1      6.8121
2      t/one             4      22.707
2      w/one             4      22.707
2      r/three           1      6.8121
2      u/two             2      7.569
2      ux2/two           4      22.707
2      asdf/three        1      6.8121
2      p/three           1      6.8121
2      ux1/two           4      22.707
2      y/two             4      22.707
2      o/three           1      6.8121
2      ux5/three         1      6.8121
2      ux5/one           4      22.707
2      o/one             4      22.707
3      w/one/one         1      8.3259
3      r/one/three       1      6.8121
3      y/two/two         1      8.3259
3      ux2/two/one       2      7.569
3      ux1/two/three     1      6.8121
3      o/two/three       1      6.8121
3      ux5/two/three     1      6.8121
3      ux5/one/two       2      7.569
3      asdf/two/two      1      8.3259
3      t/one/two         2      7.569
3      ux3/two/three     1      6.8121
3      o/one/two         2      7.569
3      ux1/two/one       2      7.569
3      ux1/one/three     1      6.8121
3      y/two/one         2      7.569
3      asdf/one/two      2      7.569
3      t/two/three       1      6.8121
3      ux5/one/one       1      8.3259
3      o/one/one         1      8.3259
3      r/two/three       1      6.8121
3      y/one/three       1      6.8121
3      w/two/two         1      8.3259
3      t/one/three       1      6.8121
3      w/one/three       1      6.8121
3      r/one/two         2      7.569
3      asdf/one/one      1      8.3259
3      ux3/one/one       1      8.3259
3      ux2/two/three     1      6.8121
3      asdf/two/one      2      7.569
3      ux2/one/one       1      8.3259
3      ux1/two/two       1      8.3259
3      o/two/two         1      8.3259
3      ux5/two/two       1      8.3259
3      w/two/one         2      7.569
3      ux3/two/two       1      8.3259
3      r/one/one         1      8.3259
3      ux1/one/two       2      7.569
3      y/two/three       1      6.8121
3      t/two/two         1      8.3259
3      o/two/one         2      7.569
3      ux5/two/one       2      7.569
3      ux5/one/three     1      6.8121
3      ux3/two/one       2      7.569
3      ux3/one/two       2      7.569
3      o/one/three       1      6.8121
3      r/two/two         1      8.3259
3      y/one/two         2      7.569
3      w/one/two         2      7.569
3      ux1/one/one       1      8.3259
3      ux2/one/two       2      7.569
3      asdf/one/three    1      6.8121
3      t/two/one         2      7.569
3      ux3/one/three     1      6.8121
3      ux2/two/two       1      8.3259
3      asdf/two/three    1      6.8121
3      ux2/one/three     1      6.8121
3      r/two/one         2      7.569
3      y/one/one         1      8.3259
3      w/two/three       1      6.8121
3      t/one/one         1      8.3259
